_id,host_id,host_url,host_name,host_location,host_response_time,host_thumbnail_url,host_picture_url,host_neighbourhood,host_response_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,host_total_listings_count,host_verifications
1255979,6841523,https://www.airbnb.com/users/show/6841523,Christine,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within a few hours,https://a0.muscache.com/im/users/6841523/profile_pic/1411000069/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6841523/profile_pic/1411000069/original.jpg?aki_policy=profile_x_medium,Ipanema,100.0,False,True,True,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'selfie', 'government_id', 'identity_manual', 'work_email']"
12561397,68088388,https://www.airbnb.com/users/show/68088388,Sentido,PT,,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,,False,False,False,2,2,"['email', 'phone', 'reviews']"
12561925,67645329,https://www.airbnb.com/users/show/67645329,Carla,"Rio de Janeiro, State of Rio de Janeiro, Brazil",,https://a0.muscache.com/im/pictures/167d121a-f446-42a2-9324-ed746a3ab8c1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/167d121a-f446-42a2-9324-ed746a3ab8c1.jpg?aki_policy=profile_x_medium,,,False,True,False,1,1,"['email', 'phone']"
125656,624433,https://www.airbnb.com/users/show/624433,Alan & Catherine,"Barcelona, Cataluña, Spain",within an hour,https://a0.muscache.com/im/users/624433/profile_pic/1306350317/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/624433/profile_pic/1306350317/original.jpg?aki_policy=profile_x_medium,Copacabana,100.0,False,True,True,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
12586942,40922297,https://www.airbnb.com/users/show/40922297,Hide,"Honolulu, Hawaii, United States",within an hour,https://a0.muscache.com/im/users/40922297/profile_pic/1439115587/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/40922297/profile_pic/1439115587/original.jpg?aki_policy=profile_x_medium,Waikiki,100.0,False,True,True,11,11,"['email', 'phone', 'reviews', 'kba']"
12591225,47893384,https://www.airbnb.com/users/show/47893384,Leo,BR,within a day,https://a0.muscache.com/im/pictures/4eea0e3c-1026-4556-984f-7229eec670d4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/4eea0e3c-1026-4556-984f-7229eec670d4.jpg?aki_policy=profile_x_medium,,100.0,False,True,False,1,1,"['email', 'phone', 'reviews', 'work_email']"
12601609,68385215,https://www.airbnb.com/users/show/68385215,Charles,"Rio de Janeiro, State of Rio de Janeiro, Brazil",,https://a0.muscache.com/im/pictures/c503c031-c66c-4d93-8284-6b3574b16c1a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/c503c031-c66c-4d93-8284-6b3574b16c1a.jpg?aki_policy=profile_x_medium,Copacabana,,False,True,False,1,1,['phone']
12604062,3211895,https://www.airbnb.com/users/show/3211895,Kh,"Wailuku, Hawaii, United States",within a few hours,https://a0.muscache.com/im/users/3211895/profile_pic/1344558242/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3211895/profile_pic/1344558242/original.jpg?aki_policy=profile_x_medium,Kihei/Wailea,93.0,False,True,False,38,38,"['email', 'phone', 'reviews']"
12607396,39360199,https://www.airbnb.com/users/show/39360199,OportoBatalha,"Porto, Porto District, Portugal",within a few hours,https://a0.muscache.com/im/pictures/user/71ded289-6737-4243-bc26-8e1c3da724ca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/71ded289-6737-4243-bc26-8e1c3da724ca.jpg?aki_policy=profile_x_medium,,100.0,True,True,False,1,1,"['email', 'phone', 'reviews']"
12628177,21974494,https://www.airbnb.com/users/show/21974494,Pınar,"Istanbul, Turkey",,https://a0.muscache.com/im/pictures/9c9e301d-057d-4cac-ba13-fc50a87f7fca.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/9c9e301d-057d-4cac-ba13-fc50a87f7fca.jpg?aki_policy=profile_x_medium,Şişli,,False,True,False,2,2,"['email', 'phone', 'work_email']"
12639342,2538304,https://www.airbnb.com/users/show/2538304,Sonia,"Rio de Janeiro, Rio de Janeiro, Brazil",within an hour,https://a0.muscache.com/im/pictures/dc590368-a387-4249-9e6d-524b1482f6af.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/dc590368-a387-4249-9e6d-524b1482f6af.jpg?aki_policy=profile_x_medium,Leblon,100.0,True,True,True,5,5,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']"
12647072,27808760,https://www.airbnb.com/users/show/27808760,Sinem,"İstanbul, TR",,https://a0.muscache.com/im/users/27808760/profile_pic/1424052577/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/27808760/profile_pic/1424052577/original.jpg?aki_policy=profile_x_medium,,,False,True,False,1,1,"['email', 'phone']"
1264811,6886290,https://www.airbnb.com/users/show/6886290,Leandro,"Rio de Janeiro, Rio de Janeiro, Brazil",,https://a0.muscache.com/im/users/6886290/profile_pic/1371690705/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6886290/profile_pic/1371690705/original.jpg?aki_policy=profile_x_medium,Flamengo,,False,True,True,1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']"
12651199,57671630,https://www.airbnb.com/users/show/57671630,Leander,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,https://a0.muscache.com/im/pictures/4e2de076-2208-4915-8f38-e3d8c2fd38ff.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/4e2de076-2208-4915-8f38-e3d8c2fd38ff.jpg?aki_policy=profile_x_medium,,100.0,True,True,True,1,1,"['email', 'phone', 'reviews', 'jumio', 'government_id']"
12653230,68733158,https://www.airbnb.com/users/show/68733158,Ricardo,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within a day,https://a0.muscache.com/im/pictures/user/69d2c9dd-273a-49ca-a18e-2eaf350eaf73.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/69d2c9dd-273a-49ca-a18e-2eaf350eaf73.jpg?aki_policy=profile_x_medium,Copacabana,100.0,False,True,True,1,1,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
12654770,68744737,https://www.airbnb.com/users/show/68744737,Wing Sze,AU,,https://a0.muscache.com/im/pictures/5b0ffdbd-6009-44f2-9491-d41eaf7e64f2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/5b0ffdbd-6009-44f2-9491-d41eaf7e64f2.jpg?aki_policy=profile_x_medium,,,False,True,False,1,1,"['email', 'phone', 'jumio', 'government_id']"
