_id,listing_url,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,images,review_scores
31053412,https://www.airbnb.com/rooms/31053412,"Cityloft 36, 2+1 Special Flat / Ataşehir",Boutique hotel,Private room,Real Bed,1,1125,flexible,6,2.0,2.0,2,2.0,221.00,0.00,50.00,2,{'picture_url': 'https://a0.muscache.com/im/pictures/c87af769-1d3a-4e6f-958e-30525a025247.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 9, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 8, 'review_scores_value': 10, 'review_scores_rating': 90}"
31057135,https://www.airbnb.com/rooms/31057135,Wilner Hôtel,Condominium,Private room,Real Bed,1,1125,flexible,5,2.0,2.0,1,1.0,64.00,0.00,20.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/8144390d-843d-42b5-85f5-c725ea0987f1.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 8, 'review_scores_location': 8, 'review_scores_value': 10, 'review_scores_rating': 80}"
31057997,https://www.airbnb.com/rooms/31057997,Studio downtown montreal,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2,0.0,1.0,0,1.0,60.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/a309e9aa-9d34-491d-ad77-e003bf62ed4d.jpg?aki_policy=large'},{}
31058753,https://www.airbnb.com/rooms/31058753,"Apt moderno, completo e bem localizado.",Apartment,Entire home/apt,Real Bed,3,60,moderate,4,2.0,2.0,1,2.0,261.00,140.00,50.00,3,{'picture_url': 'https://a0.muscache.com/im/pictures/b8f786fb-7605-4d66-8e60-908b155613d2.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}"
31059672,https://www.airbnb.com/rooms/31059672,"Perfect Location, Apt Close to Tamarama and Bondi",Apartment,Entire home/apt,Real Bed,3,10,strict_14_with_grace_period,2,1.0,1.0,2,1.0,139.00,60.00,50.00,2,{'picture_url': 'https://a0.muscache.com/im/pictures/d6549334-0f29-4207-8413-dd5e50386807.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}"
31063824,https://www.airbnb.com/rooms/31063824,Yakut Hotel,Boutique hotel,Private room,Real Bed,1,1125,flexible,6,1.0,4.0,0,1.0,359.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/2e3dc22b-d146-43a7-b9bb-6d52fb550733.jpg?aki_policy=large'},{}
31065702,https://www.airbnb.com/rooms/31065702,"泓都3座,位于港岛坚尼地城,近地铁和海边,中高档住宅｡V:mengmengustc9916",House,Entire home/apt,Real Bed,1,1125,flexible,1,1.0,1.0,1,1.0,196.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/9014234d-ea74-43a6-ad6e-62d0af9bf73c.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}"
31080472,https://www.airbnb.com/rooms/31080472,Waikiki Private Close to Everything,Condominium,Private room,Real Bed,5,1125,flexible,3,1.0,1.0,2,1.0,85.00,75.00,20.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/4c34475a-3bf1-475b-a4a3-946acb67cf61.jpg?aki_policy=large'},"{'review_scores_accuracy': 10, 'review_scores_cleanliness': 10, 'review_scores_checkin': 10, 'review_scores_communication': 10, 'review_scores_location': 10, 'review_scores_value': 10, 'review_scores_rating': 100}"
31081663,https://www.airbnb.com/rooms/31081663,Matosinhos Beach Apartment,Apartment,Entire home/apt,Real Bed,2,170,strict_14_with_grace_period,6,3.0,3.0,0,2.0,60.00,40.00,10.00,4,{'picture_url': 'https://a0.muscache.com/im/pictures/5644a2bf-6f0a-453c-9e43-319593f2cbb7.jpg?aki_policy=large'},{}
31083177,https://www.airbnb.com/rooms/31083177,Residence/ 4 kişilik küçük tatlı bir ev :),House,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,2.0,0,1.0,111.00,,0.00,1,{'picture_url': 'https://a0.muscache.com/im/pictures/b7594012-2f84-44da-9dbd-9de77734db6b.jpg?aki_policy=large'},{}
